id,lon,lat,province,city,name,address,brand,category,birth,all_day,wifi,store_view,basketball,self_service,attractions,train,breakfast
17857,120.30833,31.5916,江苏省,无锡市,无锡汽车站,综合交通枢纽F2地块站北汽车站,KFC,餐饮,false,false,false,false,false,true,false,true,true
18238,115.904281,28.692805,江西省,南昌市,蓝天碧水,青山南路72号1层和地下一层,KFC,餐饮,true,false,true,false,true,false,false,false,true
18760,115.804829,39.263293,河北省,涿州市,定兴,定兴市定兴县通兴东路南侧69号,KFC,餐饮,true,true,false,true,false,false,false,false,false
18345,113.627893,34.726647,河南省,郑州市,嵩山路,嵩山路与安康路交汇处西南角兰德置业广场一、二层,KFC,餐饮,true,false,true,false,false,false,false,false,true
18886,118.161082,39.828095,河北省,唐山市,丰润,丰润区新城道114号(曹雪芹东道200号万隆底商）,KFC,餐饮,true,true,false,true,false,false,false,false,false
18607,110.389186,18.798549,海南省,万宁市,万宁,人民中路文化商业广场首层,KFC,餐饮,true,true,false,true,true,false,false,false,true
18766,125.321656,43.832329,吉林省,长春市,长大,南关区卫星路星城国际A座1层,KFC,餐饮,false,false,false,false,true,true,false,false,true
18634,115.47989,38.863556,河北省,保定市,保定站,保定市新市区建华大街西侧保定火车站,KFC,餐饮,false,false,false,false,false,true,false,false,true
18324,113.666419,34.80915,河南省,郑州市,北金,北环道南、文化路东瀚海北金商业中心一、二层的房产,KFC,餐饮,true,false,false,false,true,true,false,false,true
18591,110.30772,20.007397,海南省,海口市,海垦,海垦路51号西岭华庭商业广场1层101号单元,KFC,餐饮,true,true,false,true,true,true,false,false,true
19139,113.035524,25.794303,湖南省,郴州市,郴州八一路,苏仙区八一路生源时代广场一层二层,KFC,餐饮,true,false,false,false,true,false,false,false,false
18485,114.50781,38.04573,河北省,石家庄市,勒泰,中山东路北侧、正东路以南、栗康街以西、长征街以东，中山东路39号勒泰中心,KFC,餐饮,false,false,true,false,false,true,false,false,false
18461,114.300911,34.798037,河南省,开封市,金明,开发区晋安路以北、金明大道以西开元名都商业广场一层,KFC,餐饮,false,true,false,false,false,false,false,false,true
18507,114.476544,38.047399,河北省,石家庄市,华安,中华北大街50号(现中华大街与新华路交口军创园2号综合楼103号房)一、二层,KFC,餐饮,true,false,false,true,true,true,false,false,true
18547,112.524506,27.731535,湖南省,湘潭市,湘乡市新湘路,湘乡市新湘路嘉亨茂商业广场一楼,KFC,餐饮,true,false,false,false,false,false,false,false,true
18549,109.470506,28.577322,湖南省,湘西土家族苗族自治州,花垣建设中路,花垣镇建设中路伴碧江山城市广场,KFC,餐饮,true,false,false,false,false,false,false,false,false
19162,109.992061,27.513179,湖南省,怀化市,怀化高铁,怀化高铁南站负一层,KFC,餐饮,false,false,false,true,false,true,false,false,false
18654,116.900469,38.466468,河北省,沧州市,华联购物广场,沧州市青县新华西路北侧104国道东侧青县华联购物广场一层,KFC,餐饮,false,true,false,false,false,false,false,false,false
18709,114.459121,38.010866,河北省,石家庄市,红旗大街,红旗大街666号商业北侧一层二层,KFC,餐饮,true,true,true,false,false,true,false,false,true
17645,120.62454,31.465975,江苏省,苏州市,相城漕湖,苏州市相城区漕湖产业园苏虞张西、卫渭路南漕湖邻里中心,KFC,餐饮,true,false,true,false,false,true,false,false,true
18780,113.001294,28.17753,湖南省,长沙市,左家塘,城南东路269号（位于城南东路和曙光路交汇处东南角）一层,KFC,餐饮,true,true,true,true,true,true,false,false,false
19310,113.310415,23.082915,广东省,广州市,汇丰大酒,茂名市油城四路汇丰大酒店首、二层,KFC,餐饮,true,true,false,true,true,false,false,false,true
19391,113.32332,23.115673,广东省,广州市,大剧院,天河区珠江新城珠江西路一号广州大剧院多功能厅一层,KFC,餐饮,false,false,false,true,false,true,false,false,true
19319,113.278032,23.082291,广东省,广州市,江燕路,江燕路108号燕汇广场首层,KFC,餐饮,false,true,false,false,false,false,false,false,true
19451,113.54312,23.112792,广东省,广州市,宏明,宏明路东区商业城首层A33号商铺,KFC,餐饮,true,true,true,false,true,true,false,false,true
19398,113.232935,23.396857,广东省,广州市,花都龙珠,花都区凤凰路龙珠路交叉口大润发超1楼,KFC,餐饮,true,true,false,false,true,false,false,false,false
19448,113.526062,23.085125,广东省,广州市,沙步,黄埔区沙步村沙步生活区场商业街三路壹栋黄埔东路2841号,KFC,餐饮,false,true,true,false,true,true,false,false,true
19510,113.780057,23.036523,广东省,东莞市,东城万达,东城区东纵路208号万达广场AD区1幢二层2001/2002号商铺,KFC,餐饮,false,false,false,false,false,false,false,false,false
19581,113.073966,23.223216,广东省,佛山市,瑶平路DT,南海区狮山镇官窑瑶平路汇利假日酒店富弘苑5号楼,KFC,餐饮,true,true,false,true,false,true,false,false,true
19264,113.326969,23.187775,广东省,广州市,太阳城,广州大道北嘉裕太阳城广场2-59号铺首层和二层,KFC,餐饮,false,true,false,false,true,true,false,false,false
19233,102.636781,37.928302,甘肃省,武威市,武威凉州,凉州区东大街108号一二层,KFC,餐饮,true,false,false,false,true,false,false,false,true
18811,114.325372,30.581738,湖北省,武汉市,六零六,武昌和平大道750号赵家墩绿地金融国际606一层,KFC,餐饮,false,false,false,false,false,true,false,false,false
18898,114.211199,30.563295,湖北省,武汉市,海天,武汉市汉阳区龙阳大道582号海天欢乐购1-2层,KFC,餐饮,true,false,false,false,false,false,false,false,false
