CityCode,City,Year,population,gdp
371200,莱芜市,2003,123.88,1700500
371300,临沂市,2003,1011.05,8346000
371400,德州市,2003,546.02002,5566800
371500,聊城市,2003,563.76001,4541900
371600,滨州市,2003,366.14999,4065000
371700,菏泽市,2003,874.46997,2901000
410100,郑州市,2003,661.07001,11022770
410200,开封市,2003,476.70001,2820917
410300,洛阳市,2003,638.78998,6863165
410400,平顶山市,2003,489.10999,3656628
410500,安阳市,2003,533.14001,3617866
410600,鹤壁市,2003,146.31,1222482
410700,新乡市,2003,556.73999,3789452
410800,焦作市,2003,340.19,3414205
410900,濮阳市,2003,362.13,2650299
411000,许昌市,2003,445.88,4116846
411100,漯河市,2003,259.20001,2215676
411200,三门峡市,2003,220.89999,2245634
411300,南阳市,2003,1054.38,7241573
411400,商丘市,2003,831.02002,3397493
411500,信阳市,2003,785.70001,3471173
411600,周口市,2003,1074.6801,4034625
411700,驻马店市,2003,826.31,3457143
420100,武汉市,2003,781.19,16621797
420200,黄石市,2003,253.81,2736400
420300,十堰市,2003,340.64001,2423400
420500,宜昌市,2003,396.89001,4913566
420600,襄樊市,2003,578.53998,5033100
420700,鄂州市,2003,104.33,1257000
420800,荆门市,2003,300.60001,3275115
420900,孝感市,2003,508.91,3435500
421000,荆州市,2003,647.79999,3899800
421100,黄冈市,2003,724.70001,3872350
421200,咸宁市,2003,278.32001,1736800
421300,随州市,2003,257.44,1568800
430100,长沙市,2003,601.76001,9294858
430200,株洲市,2003,373.60001,3830868
430300,湘潭市,2003,282.03,2676868
430400,衡阳市,2003,713.90002,4454628
430500,邵阳市,2003,732.34998,2850856
430600,岳阳市,2003,527.83002,4951877
430700,常德市,2003,600.20001,4865833
430800,张家界市,2003,157.42999,819087
430900,益阳市,2003,456.51001,2396731
431000,郴州市,2003,455.26999,3242609
431100,永州市,2003,570.65002,2803566
431200,怀化市,2003,492.92001,2496138
431300,娄底市,2003,403.89001,2112509
440100,广州市,2003,725.19,34968787
440200,韶关市,2003,314.85001,2680300
440300,深圳市,2003,150.92999,28954070
440400,珠海市,2003,82.019997,4732742
440500,汕头市,2003,484.64001,5269693
440600,佛山市,2003,344.23999,13815951
440700,江门市,2003,381.98001,7300825
440800,湛江市,2003,713.94,5209716
440900,茂名市,2003,668.12,6572548
441200,肇庆市,2003,392.64999,4663914
441300,惠州市,2003,286.35999,5909772
441400,梅州市,2003,490.60001,2270363
441500,汕尾市,2003,306.39999,1869331
441600,河源市,2003,334.13,1368518
441700,阳江市,2003,259.53,2328630
441800,清远市,2003,389.97,1967999
441900,东莞市,2003,158.96001,9479654
442000,中山市,2003,137.86,5014043
445100,潮州市,2003,249,2364556
445200,揭阳市,2003,590.53998,4878432
445300,云浮市,2003,261.28,2147012
450100,南宁市,2003,614.66998,5025271
450200,柳州市,2003,351.26001,3266706
450300,桂林市,2003,490.47,3882878
450400,梧州市,2003,293.69,1619978
450500,北海市,2003,146.77,1401429
450600,防城港市,2003,78.849998,719769
450700,钦州市,2003,336.73999,1553338
450800,贵港市,2003,470.35001,1343959
450900,玉林市,2003,589.54999,2447588
451000,百色市,2003,368.44,1625228
451100,贺州市,2003,209.22,1149806
451200,河池市,2003,381,1432723
451300,来宾市,2003,244.14,1192224
451400,崇左市,2003,227.89,1064853
460100,海口市,2003,139.19,2288595
460200,三亚市,2003,50.389999,411659
500000,重庆市,2003,3130.1001,22505600
510100,成都市,2003,1044.3101,18708046
510300,自贡市,2003,315.29999,2027893
510400,攀枝花市,2003,106.18,1642680
510500,泸州市,2003,468.06,2163954
510600,德阳市,2003,380.59,3553762
510700,绵阳市,2003,527.52002,3965792
510800,广元市,2003,304.07999,1040781
510900,遂宁市,2003,376.60001,1591880
511000,内江市,2003,421.25,2003189
511100,乐山市,2003,347.63,2155616
511300,南充市,2003,717.72998,2503236
511400,眉山市,2003,340.66,1740527
511500,宜宾市,2003,515.01001,2910202
511600,广安市,2003,448.53,1763470
511700,达州市,2003,628.46002,2551400
511800,雅安市,2003,153.14999,1003435
511900,巴中市,2003,356.06,1082321
512000,资阳市,2003,487.57001,1944489
520100,贵阳市,2003,344.85999,3809191
520200,六盘水市,2003,292.62,1170820
520300,遵义市,2003,713.41998,3075252
520400,安顺市,2003,250.59,787506
530100,昆明市,2003,500.79001,8120121
530300,曲靖市,2003,561.19,2816110
530400,玉溪市,2003,206.88,2864738
530500,保山市,2003,239.25,873000
530600,昭通市,2003,507.26999,1212560
530700,丽江市,2003,111.88,414050
530800,思茅市,2003,253.03,769950
530900,临沧市,2003,216.96001,731542
540100,拉萨市,2003,,
610100,西安市,2003,716.58002,9416000
610200,铜川市,2003,83.980003,486850
610300,宝鸡市,2003,367.10001,2611200
610400,咸阳市,2003,483.91,2876431
610500,渭南市,2003,533.94,2074610
610600,延安市,2003,205.61,1427600
610700,汉中市,2003,372.10001,1634440
610800,榆林市,2003,348.20999,1381020
610900,安康市,2003,294.06,1036010
611000,商洛市,2003,237.5,755900
620100,兰州市,2003,304.35999,4400803
620200,嘉峪关市,2003,16.370001,317731
620300,金昌市,2003,46.029999,541581
620400,白银市,2003,173.64,1053445
620500,天水市,2003,345.64001,1080145
620600,武威市,2003,187.10001,900107
620700,张掖市,2003,126.81,837640
620800,平凉市,2003,222.28,806051
620900,酒泉市,2003,91.839996,1066855
621000,庆阳市,2003,255.75999,896916
621100,定西市,2003,296.35001,560458
621200,陇南市,2003,,
630100,西宁市,2003,204.97,1448328
640100,银川市,2003,133.00999,1567845
640200,石嘴山市,2003,72.779999,692109
640300,吴忠市,2003,186.56,1270346
640400,固原市,2003,187.83,375938
640500,中卫市,2003,,
650100,乌鲁木齐市,2003,181.53,4085834
650200,克拉玛依市,2003,30.6,2162707
110000,北京市,2004,1162.89,42833100
120000,天津市,2004,932.54999,29318800
130100,石家庄市,2004,917.54999,16334594
130200,唐山市,2004,710.07001,16263343
130300,秦皇岛市,2004,275.82001,4534443
130400,邯郸市,2004,863.34998,9364918
130500,邢台市,2004,671.96997,6355770
130600,保定市,2004,1088.28,11108786
130700,张家口市,2004,449.82001,4001082
130800,承德市,2004,360.82001,3006156
130900,沧州市,2004,679.35999,7741155
131000,廊坊市,2004,389.82001,6048000
131100,衡水市,2004,414.26999,4738046
140100,太原市,2004,331.94,6404993
140200,大同市,2004,299.67999,3047269
140300,阳泉市,2004,126.32,1515009
140400,长治市,2004,318.19,3184746
140500,晋城市,2004,212.2,2445115
140600,朔州市,2004,143.77,1452132
140700,晋中市,2004,306.12,2539148
140800,运城市,2004,491.32999,3682811
140900,忻州市,2004,296.82001,1301939
141000,临汾市,2004,415.10001,3759352
141100,吕梁市,2004,352.29001,1795855
150100,呼和浩特市,2004,214.7,5121000
150200,包头市,2004,210.24001,6083255
150300,乌海市,2004,42.23,913666
150400,赤峰市,2004,447.04001,3266530
150500,通辽市,2004,310.91,2770805
150600,鄂尔多斯市,2004,136.87,3803751
150700,呼伦贝尔市,2004,270.88,2617890
150800,巴彦淖尔市,2004,177.91,1894893
150900,乌兰察布市,2004,271.62,1831763
210100,沈阳市,2004,693.87,19006886
210200,大连市,2004,561.59998,19617621
210300,鞍山市,2004,346.94,10060000
210400,抚顺市,2004,224.88,3750016
210500,本溪市,2004,156.56,2936043
210600,丹东市,2004,240.97,2905058
210700,锦州市,2004,307.84,3431203
210800,营口市,2004,229.92999,3183313
210900,阜新市,2004,192.8,1271258
211000,辽阳市,2004,182.41,2900185
211100,盘锦市,2004,124.8,3687000
211200,铁岭市,2004,300.42999,2160570
211300,朝阳市,2004,336.79999,1527847
211400,葫芦岛市,2004,272.95001,2933558
220100,长春市,2004,724,15350051
220200,吉林市,2004,429.07001,7037040
220300,四平市,2004,327.67001,2794099
220400,辽源市,2004,123.98,1000597
220500,通化市,2004,226.39,2178000
220600,白山市,2004,130.66,992254
220700,松原市,2004,280.78,2847227
220800,白城市,2004,201.60001,1370006
230100,哈尔滨市,2004,970.22998,16804635
230200,齐齐哈尔市,2004,551.97998,4018847
230300,鸡西市,2004,194.16,1946995
230400,鹤岗市,2004,109.82,1048765
230500,双鸭山市,2004,151.21001,1366325
230600,大庆市,2004,262.22,12395380
230700,伊春市,2004,129.57001,1092023
230800,佳木斯市,2004,247.31,2362956
230900,七台河市,2004,88.150002,965164
231000,牡丹江市,2004,270.35001,3017544
231100,黑河市,2004,174.07001,1122757
232300,绥化市,2004,557.79999,3975993
310000,上海市,2004,1352.39,74502700
320100,南京市,2004,583.59998,19100000
320200,无锡市,2004,447.19,23500000
320300,徐州市,2004,916.84998,10958000
320400,常州市,2004,348.97,11006100
320500,苏州市,2004,598.84998,34500000
320600,南通市,2004,773.78998,12260619
320700,连云港市,2004,468.81,4163600
320800,淮安市,2004,524.06,5009700
320900,盐城市,2004,798.28003,8713600
321000,扬州市,2004,454.29001,7881300
321100,镇江市,2004,267.20999,7811600
321200,泰州市,2004,502.76999,7052000
321300,宿迁市,2004,521.40002,3355900
330100,杭州市,2004,651.67999,25150000
330200,宁波市,2004,552.69,21580377
330300,温州市,2004,746.19,14025726
330400,嘉兴市,2004,333.94,10505564
330500,湖州市,2004,257.20999,5906926
330600,绍兴市,2004,434.72,13138654
330700,金华市,2004,451.70001,9783771
330800,衢州市,2004,245.61,2837600
330900,舟山市,2004,96.910004,2120391
331000,台州市,2004,555.91998,11737943
331100,丽水市,2004,250.66,2645690
340100,合肥市,2004,444.67999,5897000
340200,芜湖市,2004,224.56,3450746
